evaluations raw_y_best
1 -18.86029821297417
2 -18.86029821297417
3 -18.86029821297417
4 -18.86029821297417
5 -18.86029821297417
6 -18.86029821297417
7 -18.86029821297417
8 -18.86029821297417
9 -19.500915001544055
10 -19.500915001544055
11 -19.66786158341759
12 -19.66786158341759
13 -19.66786158341759
14 -19.671246805834468
15 -19.671246805834468
16 -19.671246805834468
17 -19.671246805834468
18 -19.671246805834468
19 -19.671246805834468
20 -19.671246805834468
21 -19.671246805834468
22 -19.671246805834468
23 -19.673622405725006
24 -19.673974864559245
25 -19.673974864559245
